vol_window,vol_threshold,high_params,normal_params,low_params,high_return,normal_return,low_return,combined_return,high_vol_pct,normal_vol_pct,low_vol_pct
24,1.5,"(8, 30)","(30, 200)","(50, 500)",1.9252951676747818,6.17608648540351,0.3682202177881997,31.406897254843763,0.16984092394857267,0.7300501198518196,0.10010895619960776
168,1.0,"(50, 300)","(20, 100)","(30, 50)",2.913213550003199,2.1858542558617504,1.8899262603899247,27.113890776892216,0.2454129439965134,0.5346262802353454,0.21996077576814121
120,1.5,"(15, 50)","(15, 200)","(50, 500)",1.3838741540825277,5.167640543586669,0.832364865485393,25.502540326800077,0.17507082152974504,0.7204619742863368,0.10446720418391807
48,1.0,"(3, 150)","(15, 500)","(50, 200)",6.6945551187511505,1.7278942778747486,1.1222543765692388,24.092981779501812,0.24785356286772717,0.4810634125081717,0.2710830246241011
24,1.0,"(15, 30)","(5, 100)","(50, 500)",0.7400537752322114,4.925004696880054,0.8081400850811755,22.504170964470976,0.2455436914360427,0.4933972543037699,0.2610590542601874
120,1.0,"(50, 300)","(10, 200)","(50, 400)",2.5969000748053053,3.158874514131422,1.0725397960471148,22.354507133352143,0.25195031597297884,0.49853998692525603,0.2495096971017651
48,0.5,"(3, 200)","(30, 50)","(15, 500)",3.4457801478299768,0.1065982211363965,6.517875504355864,22.03100906607414,0.32290259315755065,0.2226628895184136,0.4544345173240357
72,1.5,"(3, 400)","(30, 200)","(10, 30)",3.3151026644427164,1.7684496552284776,0.3785914891366786,21.392527852728957,0.1803878840706036,0.7186315101329266,0.10098060579646982
24,2.0,"(5, 30)","(30, 200)","(30, 100)",3.139433041999207,8.033897390866032,0.031070524216198603,19.81117092372683,0.09557637829592504,0.8743952930921769,0.03002832861189802
72,1.0,"(20, 150)","(30, 200)","(50, 100)",2.170045479695554,2.567850572337349,1.3594035085558418,18.599039791950432,0.25142732621486164,0.47932011331444757,0.2692525604706908
168,0.5,"(5, 200)","(20, 100)","(5, 150)",5.013556414937247,1.1680719605770045,1.3142083052471882,18.296185918806863,0.3193288298104162,0.228328611898017,0.4523425582915668
120,0.5,"(5, 200)","(8, 300)","(30, 50)",4.434379215170175,1.7510954016985423,0.4191392140414285,15.971690435430684,0.3328393985617782,0.24310307256482894,0.4240575288733929
168,2.0,"(15, 50)","(5, 400)","(3, 100)",1.793792864439106,3.517310889270549,0.16742345797343305,15.585765663770722,0.10743081281324908,0.8582261930703857,0.03434299411636522
168,1.5,"(8, 200)","(20, 100)","(30, 50)",5.230269866274433,1.290103489849706,0.5267165864241818,14.53540130702534,0.17973414687295708,0.7204183918064938,0.09984746132054914
24,0.5,"(3, 200)","(3, 100)","(30, 200)",0.8023784169378809,6.847895743681158,0.9410240083203931,13.29023231039419,0.3250817171497058,0.21372848115057747,0.46118980169971674
120,2.0,"(50, 150)","(30, 200)","(50, 500)",1.476781825550293,3.2230313222608293,0.1896919449981247,11.367589314463364,0.11191980823708869,0.8539115275659185,0.03416866419699281
72,2.0,"(3, 400)","(30, 200)","(50, 100)",4.326809323032419,1.1935999695046053,0.1950185072185051,9.738928527784394,0.10172150795380257,0.8762257572455873,0.022052734800610155
48,1.5,"(3, 150)","(15, 500)","(50, 300)",2.532372567765479,3.2911174453462486,0.5210869480720268,7.9117691924746065,0.1715406406624537,0.7330573109609937,0.09540204837655263
48,2.0,"(10, 50)","(15, 500)","(30, 150)",0.6483669253591582,8.418439337494004,0.18425944623707613,3.8713530710977713,0.10015253867945086,0.8719982567008063,0.027849204619742864
72,0.5,"(5, 200)","(3, 30)","(15, 500)",6.462635382993335,0.8905486269415519,2.6833879509055762,3.2384090072159104,0.33127042928742645,0.21486162562649816,0.4538679450860754
